Date,Day_of_Week,Month,Month_Name,Quarter,Week_of_Year,Is_Weekend,Holiday,Clinic_Type,Provider_Count,Available_Slots,Scheduled_Appointments,Completed_Appointments,Cancelled_Appointments,No_Shows,Walk_Ins,Patient_Volume,Average_Wait_Time,Capacity_Utilization,Revenue,Claims_Submitted,Claims_Denied,Staffing_Level
2023-01-01,Sunday,1,January,1,52,1,0,General OPD,8,144,70,76,5,5,16,76,46.2,52.8,2505.17,72,3,13
2023-01-02,Monday,1,January,1,1,0,0,Surgical OPD,8,128,100,105,6,10,21,105,54.9,82.0,3211.62,102,6,14
2023-01-03,Tuesday,1,January,1,1,0,0,Medicine,8,136,125,136,7,9,27,136,80.6,100.0,4951.87,123,7,14
2023-01-04,Wednesday,1,January,1,1,0,0,Pediatrics,8,136,98,106,4,7,19,106,51.2,77.9,3756.94,98,4,10
2023-01-05,Thursday,1,January,1,1,0,0,General OPD,8,144,86,88,4,5,11,88,43.1,61.1,2740.15,80,5,14
2023-01-06,Friday,1,January,1,1,0,0,General OPD,8,136,89,91,7,6,15,91,43.2,66.9,3537.35,81,5,12
2023-01-07,Saturday,1,January,1,1,1,0,General OPD,8,120,60,64,3,6,13,64,51.2,53.3,2095.44,59,3,13
2023-01-08,Sunday,1,January,1,1,1,0,Medicine,7,112,64,71,3,5,15,71,46.2,63.4,1857.32,65,2,9
2023-01-09,Monday,1,January,1,2,0,0,Pediatrics,9,153,101,98,6,11,14,98,41.0,64.1,3175.21,89,5,14
2023-01-10,Tuesday,1,January,1,2,0,0,Medicine,9,144,116,121,6,11,22,121,56.8,84.0,4122.44,110,7,11
2023-01-11,Wednesday,1,January,1,2,0,0,General OPD,8,120,95,102,6,7,20,102,53.0,85.0,3209.64,93,5,12
2023-01-12,Thursday,1,January,1,2,0,0,Surgical OPD,8,136,75,77,4,5,11,77,41.5,56.6,2337.26,75,5,14
2023-01-13,Friday,1,January,1,2,0,0,Medicine,8,144,101,100,6,10,15,100,50.8,69.4,3905.74,96,4,10
